FIPS,County,Year,Physically Unhealthy Days,Mentally Unhealthy Days,% Smokers,% Obese,% Physically Inactive,% Exercise Access,% Excessive Drinking,Teen Birth Rate,% Uninsured,Preventable Hospitalization Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Injury Death Rate
53001,Adams,2015,3.6,2.5,10.1,36.0,25.3,52.493592482,11.8,94.268774704,22.996515679,37.81,38.761662426,8.5313174946,23.7,76410,21408,3.5692264574,26.018134317,50.566451849
53003,Asotin,2015,4.8,3.7,21.7,28.6,21.2,71.835545484,15.6,40.386680988,15.00602306,37.68,60.410618001,7.2087776866,25.8,81208,19956,4.0693525757,29.147490686,87.758193844
53005,Benton,2015,3.7,3.1,15.3,32.0,18.4,83.345987202,13.4,40.007400213,14.924221827,50.36,64.861723359,8.347211108,18.2,113599,26114,4.3501187103,31.320912707,47.034755488
53007,Chelan,2015,3.2,2.8,13.2,25.8,17.1,89.046692338,14.5,42.600513259,19.963300949,29.81,46.699571836,7.2566009764,23.0,97222,22957,4.2349610141,26.991025569,76.496303599
53009,Clallam,2015,4.4,3.8,18.9,28.1,20.4,79.960506414,13.8,32.502462308,18.695486574,26.62,62.556465274,9.2076931499,24.8,86213,20366,4.2331827556,36.310084826,96.091620418
53011,Clark,2015,3.5,3.4,15.3,29.4,18.9,96.138592214,16.0,27.017896002,15.701749777,49.75,64.280582701,9.6034314606,17.4,106596,27300,3.9046153846,27.172484104,57.649422147
53013,Columbia,2015,4.1,3.3,14.8,32.1,24.0,66.282491417,14.8,29.931972789,16.772469095,25.25,62.169312169,10.069444444,26.0,82932,16402,5.056212657,33.333333333,49.992501125
53015,Cowlitz,2015,4.5,4.1,23.2,34.6,23.2,74.648960062,18.6,43.870967742,16.039639212,49.09,58.750208438,10.124141256,23.1,90500,19843,4.560802298,35.212726294,73.233104496
53017,Douglas,2015,4.0,3.0,15.1,26.4,19.2,73.35224168,14.1,44.045506732,22.178627052,30.59,49.96310741,6.960348254,23.7,91489,26140,3.4999617445,28.023684721,50.546369781
53019,Ferry,2015,4.5,3.1,24.2,25.8,20.0,67.434776851,17.9,32.277346085,21.844109545,55.16,55.531763026,11.74743025,33.1,74462,15314,4.8623481781,43.922651934,137.12356943
53021,Franklin,2015,4.2,2.6,11.7,31.0,20.0,59.031766949,14.4,71.881926254,22.439215686,34.85,43.144538587,9.2635182115,24.0,93655,23359,4.0093754013,34.161558272,39.977999369
53023,Garfield,2015,4.5,3.8,16.9,33.0,27.1,75.19858782,10.5,0.0,15.478971963,0.0,71.393034826,7.6595744681,25.3,86667,24085,3.5983807349,25.935162095,0.0
53025,Grant,2015,4.2,2.9,16.1,33.4,27.3,58.568222621,13.9,67.845096281,22.056573965,33.01,43.871878585,8.8022257399,24.5,84166,20744,4.0573659853,29.294512062,66.832886281
53027,Grays Harbor,2015,4.5,4.3,22.8,34.6,25.2,80.905806558,21.5,43.447792572,20.109410341,57.45,51.89422684,11.828309305,28.2,82941,19100,4.342460733,37.312258149,78.001825575
53029,Island,2015,3.6,3.4,15.0,28.0,17.3,85.567982065,16.0,22.509883943,13.272742027,28.59,68.873871316,7.7096752772,15.1,103754,27558,3.7649321431,21.82946915,60.517141862
53031,Jefferson,2015,4.4,4.1,14.7,25.3,15.4,73.071772898,15.5,23.829787234,16.530120482,29.63,67.579194368,8.9550934824,23.8,86236,19214,4.4881856979,29.942829919,86.570209111
53033,King,2015,3.0,2.9,11.1,22.2,14.7,97.750833787,18.4,18.375244224,13.672270552,32.99,77.626256328,5.2352028585,15.7,139517,30193,4.6208392674,25.143148964,48.331984418
